station_id;name;numbikesavailable;mechanical;ebike;numdocksavailable;timestamp;date;hour;weekday
40001;Hôpital Mondor;8;4;4;19;2025-06-05 02:03:10;2025-06-05;2;Thursday
44015;Rouget de L'isle - Watteau;18;4;14;2;2025-06-05 02:02:50;2025-06-05;2;Thursday
14014;Jourdan - Stade Charléty;15;8;7;43;2025-06-05 02:00:45;2025-06-05;2;Thursday
11104;Charonne - Robert et Sonia Delaunay;12;7;5;8;2025-06-05 02:01:58;2025-06-05;2;Thursday
6003;Saint-Sulpice;1;1;0;18;2025-06-05 02:03:27;2025-06-05;2;Thursday
5110;Lacépède - Monge;13;5;8;10;2025-06-05 01:59:49;2025-06-05;1;Thursday
42016;Pierre et Marie Curie - Maurice Thorez;19;9;10;8;2025-06-05 01:58:39;2025-06-05;1;Thursday
40011;Bas du Mont-Mesly;24;16;8;3;2025-06-05 02:00:59;2025-06-05;2;Thursday
25006;Place Nelson Mandela;4;0;4;17;2025-06-05 01:57:10;2025-06-05;1;Thursday
30002;Jean Rostand - Paul Vaillant Couturier;8;1;7;27;2025-06-05 02:02:23;2025-06-05;2;Thursday
7003;Square Boucicaut;3;2;1;56;2025-06-05 02:03:35;2025-06-05;2;Thursday
15047;Morillons - Dantzig;29;13;16;23;2025-06-05 02:01:30;2025-06-05;2;Thursday
14108;Le Brix et Mesmin - Jourdan;6;5;1;15;2025-06-05 01:57:26;2025-06-05;1;Thursday
31024;Romainville - Vaillant-Couturier;7;2;5;31;2025-06-05 01:58:17;2025-06-05;1;Thursday
40016;Sarrazins - Saussure;0;0;0;22;2025-02-05 10:35:03;2025-02-05;10;Wednesday
17044;Porte de Saint-Ouen - Bessières;5;1;4;36;2025-06-05 01:59:59;2025-06-05;1;Thursday
21326;Moulin de Pierre - Abbé Grégoire;14;5;9;6;2025-06-05 02:00:11;2025-06-05;2;Thursday
20143;Ramponeau - Belleville;14;13;1;29;2025-06-05 02:02:03;2025-06-05;2;Thursday
16138;Saint-Cloud - Hippodrome;1;1;0;28;2025-06-05 01:59:10;2025-06-05;1;Thursday
21216;Louis Lejeune - Barbès;3;2;1;22;2025-06-05 01:57:01;2025-06-05;1;Thursday
15068;Général Martial Valin - Pont du Garigliano;3;1;2;12;2025-06-05 02:00:31;2025-06-05;2;Thursday
92002;Théâtre des Amandiers - Palais des sports;3;1;2;19;2025-06-05 02:00:10;2025-06-05;2;Thursday
31028;Raspail Barbès;12;1;11;16;2025-06-05 02:01:15;2025-06-05;2;Thursday
9008;Tour d'Auvergne - Rodier;7;5;2;9;2025-06-05 01:59:45;2025-06-05;1;Thursday
8103;Artois - Berri;0;0;0;23;2025-06-05 02:02:44;2025-06-05;2;Thursday
19027;Serrurier;0;0;0;0;2025-05-21 06:48:59;2025-05-21;6;Wednesday
18111;Félix Ziem - Armand Gauthier;3;2;1;21;2025-06-05 01:56:38;2025-06-05;1;Thursday
9002;Abbeville - Faubourg Poissonnière;6;5;1;6;2025-06-05 02:02:31;2025-06-05;2;Thursday
8016;Square Louis XVI;1;0;1;26;2025-06-05 01:58:13;2025-06-05;1;Thursday
10115;Granges aux Belles;6;4;2;21;2025-06-05 02:03:32;2025-06-05;2;Thursday
12031;Gabriel Lamé;27;26;1;6;2025-06-05 02:03:34;2025-06-05;2;Thursday
17040;Pereire - Ternes;6;4;2;42;2025-06-05 02:02:40;2025-06-05;2;Thursday
8009;Gare Saint-Lazare - Isly;0;0;0;26;2025-06-05 01:58:21;2025-06-05;1;Thursday
17008;Porte Pouchet-Bessières;8;7;1;14;2025-06-05 02:02:17;2025-06-05;2;Thursday
21323;Charlot - Stade Gabriel Voisin;22;21;1;7;2025-06-05 02:01:50;2025-06-05;2;Thursday
9014;Faubourg Montmartre - La Fayette;1;1;0;33;2025-06-05 01:59:14;2025-06-05;1;Thursday
9106;Boudreau - Auber;0;0;0;27;2025-06-05 02:01:47;2025-06-05;2;Thursday
9022;Rossini - Laffitte;1;1;0;31;2025-06-05 01:55:28;2025-06-05;1;Thursday
26003;Argenteuil - Voltaire;14;10;4;1;2025-06-05 02:00:31;2025-06-05;2;Thursday
12151;Gare de Lyon - Place Louis Armand;2;0;2;58;2025-06-05 02:01:10;2025-06-05;2;Thursday
5020;Institut du Monde Arabe - Saint-Germain;4;1;3;36;2025-06-05 02:00:31;2025-06-05;2;Thursday
92007;Pesaro - Préfecture;5;0;5;17;2025-06-05 02:03:11;2025-06-05;2;Thursday
16026;Ranelagh - Mozart;3;0;3;5;2025-06-05 02:02:22;2025-06-05;2;Thursday
10107;Gare du Nord - Hôpital Lariboisière;5;1;4;43;2025-06-05 02:03:34;2025-06-05;2;Thursday
17043;Belidor - Gouvion-Saint-Cyr;4;2;2;35;2025-06-05 02:01:07;2025-06-05;2;Thursday
19026;Place de Rhin et Danube;9;1;8;6;2025-06-05 01:53:47;2025-06-05;1;Thursday
16039;Exelmans - Versailles;16;15;1;32;2025-06-05 02:00:28;2025-06-05;2;Thursday
12111;Claude Decaen - Cannebière;23;14;9;21;2025-06-05 02:01:46;2025-06-05;2;Thursday
8034;Berri - Haussmann;2;2;0;32;2025-06-05 02:03:08;2025-06-05;2;Thursday
5032;Panthéon - Valette;1;0;1;36;2025-06-05 01:58:34;2025-06-05;1;Thursday
18107;Chartres - La Charbonnière;6;2;4;27;2025-06-05 02:02:38;2025-06-05;2;Thursday
20042;Pyrénées - Emmery;11;1;10;29;2025-06-05 02:03:08;2025-06-05;2;Thursday
